Age,Education Level,Years of Experience,Role,Department,Location,Salary
50,Associate,9,Data Analyst,Marketing,Boston,89720.88
41,High School,8,Consultant,Operations,Los Angeles,89866.64
23,Master,0,QA Engineer,Finance,Chicago,65366.94
38,Master,2,QA Engineer,Customer Support,Chicago,83572.69
55,Master,27,Consultant,HR,Los Angeles,193369.41
55,Master,8,QA Engineer,Customer Support,Seattle,101626.29
53,Master,16,System Administrator,Finance,Austin,103449.53
50,High School,22,Manager,IT,Austin,114795.84
55,Associate,2,QA Engineer,Operations,Chicago,60591.02
26,Associate,2,QA Engineer,Operations,Los Angeles,59356.79
30,Master,6,Software Engineer,Customer Support,San Francisco,121415.49
23,Master,0,Business Analyst,IT,Chicago,70129.08
35,Bachelor,9,Data Scientist,IT,San Francisco,128194.57
59,Bachelor,33,Product Manager,IT,Seattle,210943.25
58,Master,2,System Administrator,IT,Austin,74255.43
35,Bachelor,7,QA Engineer,Operations,Boston,86943.45
40,Associate,13,Manager,IT,Austin,98931.97
27,Master,0,Data Scientist,Product,New York,102822.61
24,Master,0,Software Engineer,HR,New York,90215.91
30,High School,1,Manager,Customer Support,Boston,53011.13
53,Bachelor,22,Data Scientist,Finance,New York,175065.55
51,Master,3,Data Scientist,Finance,Chicago,102801.34
34,Associate,10,Product Manager,HR,Boston,115382.68
40,Associate,13,Product Manager,Marketing,Chicago,113184.33
40,Bachelor,15,Consultant,HR,Seattle,124872.75
32,PhD,4,System Administrator,Customer Support,Boston,107728.92
58,Associate,11,Business Analyst,Customer Support,New York,108319.3
27,High School,5,Data Scientist,Customer Support,New York,78247.37
54,Master,23,Manager,Product,Seattle,177466.98
52,Associate,7,Software Engineer,IT,Boston,97901.07
32,Master,3,Data Scientist,Operations,New York,109313.52
56,Associate,3,QA Engineer,Product,Seattle,65276.69
56,PhD,1,QA Engineer,HR,Austin,102320.09
26,High School,3,System Administrator,Operations,Chicago,56355.51
55,PhD,27,Manager,Finance,Austin,196878.71
58,High School,12,Software Engineer,IT,New York,111403.48
24,Associate,1,Manager,IT,New York,78265.42
26,PhD,2,Manager,HR,San Francisco,148601.74
48,PhD,19,Business Analyst,IT,Boston,177407.14
35,PhD,4,System Administrator,Finance,New York,117442.56
24,Bachelor,1,System Administrator,Customer Support,Boston,63662.0
59,Bachelor,33,Product Manager,IT,Austin,177976.98
35,High School,3,Data Analyst,Product,New York,56063.4
36,High School,12,Business Analyst,Customer Support,Austin,82618.62
33,Bachelor,11,Data Analyst,Marketing,Chicago,88743.69
26,Associate,2,Software Engineer,IT,Chicago,56512.82
22,High School,0,Product Manager,Marketing,Los Angeles,72022.69
38,High School,9,System Administrator,Finance,San Francisco,83451.61
53,PhD,19,Data Scientist,Customer Support,Boston,199211.87
60,Bachelor,26,Consultant,Marketing,Boston,163928.82
42,High School,19,Product Manager,Product,Chicago,125727.31
32,Master,6,System Administrator,Customer Support,San Francisco,97392.41
41,Bachelor,6,Data Scientist,IT,Boston,101512.93
35,High School,8,Data Analyst,Finance,Austin,58430.15
58,Master,5,Business Analyst,HR,Seattle,103771.18
23,Bachelor,1,Consultant,HR,Seattle,65457.83
46,Bachelor,14,QA Engineer,Customer Support,Seattle,102984.45
57,Associate,4,Business Analyst,Customer Support,Boston,84767.51
58,Associate,8,QA Engineer,Operations,New York,93803.1
35,Bachelor,9,Consultant,Finance,San Francisco,107025.62
24,Bachelor,1,Business Analyst,Finance,Austin,57599.31
23,High School,0,Consultant,Product,Chicago,54533.56
41,High School,9,Software Engineer,Customer Support,Austin,74259.93
40,Bachelor,6,System Administrator,Customer Support,Los Angeles,90938.88
49,Associate,9,Product Manager,Finance,Chicago,105853.33
49,High School,20,Manager,Customer Support,New York,141903.25
32,Associate,5,Product Manager,Customer Support,Seattle,89091.84
42,Master,14,Data Analyst,Product,New York,140361.39
50,Master,19,Software Engineer,Finance,Boston,159433.84
22,Master,0,Software Engineer,Marketing,Austin,75317.02
36,Bachelor,11,Product Manager,HR,Chicago,114470.57
55,Bachelor,18,System Administrator,Operations,New York,127452.56
22,PhD,0,Consultant,Product,Los Angeles,111416.52
45,Bachelor,14,Software Engineer,Operations,Los Angeles,126978.57
53,Bachelor,19,Product Manager,Marketing,Seattle,151997.68
53,PhD,26,Manager,IT,Los Angeles,245486.98
24,High School,2,Business Analyst,Marketing,Boston,58306.85
51,PhD,12,Data Analyst,Finance,Chicago,129805.32
28,High School,3,System Administrator,Finance,Austin,49629.71
60,Bachelor,9,Software Engineer,Product,Boston,115253.17
34,High School,6,Product Manager,Marketing,Chicago,73317.4
33,Bachelor,8,Product Manager,Customer Support,Chicago,103776.71
43,Bachelor,13,Manager,Finance,Chicago,117563.79
38,Associate,4,Data Scientist,Customer Support,San Francisco,100542.52
54,Master,30,Data Analyst,Product,San Francisco,181422.43
32,Associate,2,Product Manager,Operations,San Francisco,92017.92
50,Bachelor,19,Software Engineer,Product,Seattle,138648.94
36,Master,13,Consultant,Finance,New York,125484.82
27,High School,3,Data Analyst,Operations,Chicago,50801.33
38,Associate,1,Consultant,Operations,Boston,74632.69
31,Master,1,Manager,IT,Los Angeles,109749.42
60,Master,6,Product Manager,IT,Los Angeles,140910.72
32,Associate,0,QA Engineer,Marketing,Austin,49536.55
28,High School,5,Software Engineer,HR,Seattle,62734.9
60,High School,7,Data Scientist,HR,Los Angeles,103356.78
59,Master,21,Data Scientist,Marketing,Austin,150750.19
29,Bachelor,3,QA Engineer,Operations,New York,75055.33
23,PhD,0,Data Analyst,Finance,Austin,87190.21
44,High School,12,Consultant,Marketing,Austin,75494.52
24,PhD,1,Software Engineer,Marketing,New York,120493.4
30,High School,0,Manager,Customer Support,Boston,60277.82
23,High School,1,QA Engineer,Finance,Chicago,41863.25
22,Master,0,Product Manager,HR,Austin,85393.69
22,Bachelor,0,Data Scientist,Product,New York,79741.49
54,PhD,8,Software Engineer,Operations,Chicago,143099.49
28,Master,1,Consultant,Marketing,Seattle,80921.33
51,Bachelor,25,Business Analyst,Finance,New York,163097.31
55,PhD,30,Product Manager,IT,Chicago,225634.2
46,High School,13,Manager,Product,Los Angeles,120452.77
26,Bachelor,4,Product Manager,Finance,Los Angeles,100831.77
46,High School,9,Data Analyst,HR,Boston,79099.8
59,Bachelor,30,Software Engineer,Operations,Boston,180307.49
26,Master,2,Data Analyst,HR,Seattle,83156.95
58,Master,22,QA Engineer,HR,Austin,128218.88
26,High School,0,Software Engineer,Operations,Boston,51517.14
43,Associate,10,Data Analyst,IT,San Francisco,98753.87
27,High School,5,Data Analyst,Customer Support,Boston,66115.19
59,High School,10,Data Scientist,Product,Chicago,92751.23
50,PhD,4,Business Analyst,Marketing,Los Angeles,137068.0
27,Bachelor,2,Data Analyst,Marketing,Los Angeles,75920.57
57,High School,35,Data Analyst,HR,Austin,129559.47
54,PhD,18,System Administrator,Operations,San Francisco,171339.4
54,Bachelor,4,Product Manager,Operations,New York,117815.31
59,High School,20,Software Engineer,Finance,Chicago,119840.59
49,High School,7,Data Analyst,IT,Seattle,76103.13
46,Master,17,Manager,Product,Chicago,147670.81
45,Bachelor,10,Business Analyst,IT,Seattle,101578.0
24,PhD,1,Data Scientist,IT,Boston,126892.1
45,Associate,0,Data Scientist,Customer Support,San Francisco,83926.5
27,Master,1,Data Scientist,Finance,San Francisco,107880.13
53,Master,12,Manager,Operations,Los Angeles,156987.32
57,PhD,24,Software Engineer,IT,Los Angeles,214278.06
38,High School,14,Product Manager,HR,Seattle,117228.25
44,Associate,1,QA Engineer,Operations,Boston,63885.67
43,Master,12,Data Analyst,Marketing,San Francisco,133855.59
59,Associate,26,Data Scientist,Operations,Boston,173056.97
31,PhD,3,QA Engineer,Customer Support,Seattle,108273.71
51,Bachelor,24,Consultant,Marketing,New York,162787.08
31,Bachelor,4,Consultant,Customer Support,San Francisco,98471.99
44,High School,16,Product Manager,HR,New York,138192.81
60,Bachelor,26,Software Engineer,Product,Los Angeles,175161.9
28,Associate,0,Data Analyst,Operations,Austin,52782.96
32,PhD,8,Product Manager,Product,Los Angeles,173663.6
29,PhD,4,Product Manager,IT,Austin,128226.05
56,Associate,14,Business Analyst,HR,Seattle,112410.18
49,Associate,20,Data Analyst,Marketing,Seattle,108010.55
22,Master,0,QA Engineer,IT,New York,76774.38
59,Associate,11,Data Scientist,HR,Los Angeles,130651.74
59,Associate,27,Manager,Product,Los Angeles,187893.4
50,Master,18,Software Engineer,Finance,Seattle,145846.88
55,Bachelor,28,QA Engineer,Customer Support,Austin,123764.04
49,High School,23,System Administrator,Product,Chicago,95971.85
35,High School,10,Data Analyst,Product,Austin,71829.54
42,Bachelor,6,Manager,Finance,New York,110131.75
48,Master,13,Software Engineer,Customer Support,San Francisco,160557.8
58,Master,10,QA Engineer,Finance,Seattle,118250.23
52,High School,12,Data Scientist,HR,Los Angeles,122698.29
30,Associate,8,Data Analyst,HR,Seattle,79026.48
56,High School,22,Consultant,HR,New York,140908.76
45,Bachelor,18,Data Analyst,Marketing,Austin,107321.31
32,Bachelor,6,Software Engineer,IT,Los Angeles,96651.8
22,High School,0,System Administrator,Product,San Francisco,60193.26
44,PhD,16,Business Analyst,Operations,Seattle,167105.94
30,Associate,0,QA Engineer,Finance,Boston,54978.01
26,Associate,3,System Administrator,Product,Austin,43781.8
56,Bachelor,13,Manager,Operations,New York,138151.96
41,PhD,0,Product Manager,Marketing,San Francisco,157661.7
46,PhD,14,Data Analyst,IT,Seattle,147886.14
44,Master,10,Business Analyst,Finance,Los Angeles,118077.31
48,High School,23,Manager,HR,Austin,124222.99
23,PhD,0,Product Manager,Finance,Seattle,136139.94
30,PhD,7,Software Engineer,Product,Chicago,119490.13
52,High School,17,Data Analyst,Customer Support,Seattle,97983.02
28,PhD,0,System Administrator,HR,New York,97351.05
52,Bachelor,24,Data Analyst,HR,Boston,148512.35
59,PhD,20,Consultant,Product,Seattle,174206.95
36,Associate,9,Manager,HR,Los Angeles,107700.16
51,High School,4,Business Analyst,Finance,Chicago,74881.86
29,Master,6,Data Scientist,Finance,New York,121096.26
52,Master,7,System Administrator,Product,New York,101003.63
29,Master,7,Consultant,IT,Seattle,110039.12
51,Associate,26,Manager,Operations,Los Angeles,184861.47
59,Bachelor,8,Product Manager,Customer Support,Chicago,119864.17
32,PhD,4,Software Engineer,HR,Los Angeles,131677.39
42,Associate,9,Manager,Operations,Los Angeles,107814.34
53,Master,5,System Administrator,Marketing,San Francisco,110151.82
53,High School,28,QA Engineer,Operations,Los Angeles,138671.6
52,PhD,16,Manager,HR,Seattle,188229.87
27,PhD,5,Data Analyst,Product,New York,118161.54
40,High School,6,Data Scientist,Operations,San Francisco,92843.52
45,High School,22,System Administrator,Operations,Los Angeles,109225.47
59,Bachelor,6,Data Analyst,Customer Support,Chicago,87243.27
30,PhD,8,Manager,Operations,San Francisco,174205.45
29,High School,3,Business Analyst,Finance,New York,60025.69
50,Bachelor,18,Manager,Operations,Seattle,140864.33
53,High School,19,QA Engineer,Product,Seattle,108429.46
60,PhD,35,QA Engineer,Product,New York,208219.89
35,Master,11,System Administrator,Customer Support,Austin,94099.84
38,High School,0,Product Manager,HR,Chicago,58582.74
26,Master,2,System Administrator,Product,Boston,81200.0
34,PhD,2,Data Analyst,Operations,San Francisco,129288.46
34,PhD,7,QA Engineer,Operations,Austin,106818.03
32,High School,6,System Administrator,Customer Support,New York,74817.37
37,High School,0,Product Manager,HR,Los Angeles,61492.35
57,Master,30,Data Scientist,Operations,San Francisco,234597.38
43,PhD,7,System Administrator,Customer Support,San Francisco,140355.93
30,Bachelor,2,Software Engineer,HR,Austin,67691.84
32,High School,7,QA Engineer,Finance,Los Angeles,68838.22
23,Bachelor,0,Data Scientist,Marketing,Los Angeles,77474.23
52,Master,28,Manager,Customer Support,Seattle,204358.9
42,PhD,13,Manager,Operations,Chicago,159481.3
34,Associate,6,Data Analyst,HR,Los Angeles,80121.58
50,PhD,8,Product Manager,Marketing,Seattle,167396.08
44,Master,16,QA Engineer,Operations,Chicago,116381.36
24,Associate,2,Data Scientist,HR,Boston,76376.71
51,High School,23,Software Engineer,Product,Los Angeles,139868.96
50,Master,18,Data Analyst,Marketing,San Francisco,156344.06
23,Bachelor,1,System Administrator,Product,San Francisco,73973.38
39,Associate,7,System Administrator,IT,Los Angeles,94539.19
24,High School,0,Manager,HR,San Francisco,65647.28
47,PhD,19,Software Engineer,Product,Austin,153067.11
31,Associate,4,Manager,Marketing,San Francisco,110473.32
29,Master,4,Data Analyst,Operations,Boston,96916.3
47,Bachelor,11,Software Engineer,IT,San Francisco,125015.03
48,High School,6,Data Analyst,Product,San Francisco,77424.27
53,PhD,0,Software Engineer,Operations,New York,124089.29
47,Bachelor,12,Business Analyst,Operations,Boston,113646.42
40,Bachelor,3,QA Engineer,Marketing,Chicago,69258.95
40,Master,3,Business Analyst,Product,Chicago,77947.68
48,High School,20,Product Manager,IT,San Francisco,168150.23
26,Associate,4,QA Engineer,Product,New York,65615.58
31,Master,5,Data Analyst,Operations,Los Angeles,96416.83
43,PhD,10,Product Manager,Product,Boston,174463.25
47,Associate,4,Consultant,Customer Support,Seattle,77372.86
57,High School,22,Manager,Product,Seattle,138587.91
42,Associate,8,Software Engineer,Marketing,San Francisco,101711.2
55,Master,8,Manager,Marketing,Chicago,125434.64
36,High School,9,Consultant,Product,Chicago,76848.05
36,Master,0,Product Manager,Finance,Austin,96426.49
47,Associate,4,Data Analyst,Finance,Seattle,70764.52
38,Associate,7,Data Analyst,Operations,Boston,87494.94
36,High School,3,Software Engineer,Marketing,Chicago,56311.0
42,PhD,12,QA Engineer,Marketing,New York,139235.76
60,Bachelor,28,QA Engineer,Marketing,Boston,142085.3
31,High School,5,Business Analyst,Customer Support,Chicago,52874.31
57,Associate,29,Consultant,Finance,San Francisco,180706.63
33,Bachelor,7,Manager,Customer Support,Chicago,95522.85
48,Bachelor,16,Product Manager,Customer Support,Chicago,135548.64
53,Associate,14,Business Analyst,Product,San Francisco,125107.4
54,Bachelor,24,QA Engineer,Product,New York,136968.17
33,Associate,9,Manager,HR,Chicago,100193.45
45,High School,1,Software Engineer,Marketing,Chicago,52551.52
26,High School,0,Product Manager,Finance,Austin,46823.17
57,Master,11,Data Analyst,Marketing,Seattle,117555.5
46,PhD,4,Data Analyst,Finance,Seattle,121088.72
38,Associate,13,Manager,Operations,Los Angeles,133140.03
52,Bachelor,10,System Administrator,Finance,New York,106682.74
59,Associate,11,Data Scientist,Marketing,Chicago,104081.18
31,Master,5,Data Scientist,HR,San Francisco,117502.69
55,PhD,4,Manager,Marketing,San Francisco,174112.18
50,Master,9,Consultant,Marketing,New York,133994.21
29,High School,6,Consultant,Product,Seattle,63325.21
38,High School,13,Consultant,Marketing,Chicago,82659.85
45,High School,1,Product Manager,HR,Boston,73929.84
25,PhD,0,System Administrator,Marketing,Austin,82703.55
28,Associate,2,Software Engineer,HR,New York,69252.62
35,Bachelor,4,Data Scientist,HR,Los Angeles,82900.67
57,Master,9,Software Engineer,Product,Chicago,123389.31
58,High School,15,Product Manager,Marketing,Boston,137632.27
37,Associate,6,Manager,Customer Support,Los Angeles,105435.02
27,High School,2,Software Engineer,HR,Chicago,53372.76
40,PhD,16,Business Analyst,IT,Chicago,139775.21
22,Master,0,Data Scientist,Product,San Francisco,103773.73
58,Bachelor,23,Data Analyst,Operations,New York,148579.3
24,PhD,2,QA Engineer,Finance,Boston,104649.72
24,Associate,2,System Administrator,IT,Austin,46471.09
25,Associate,2,Consultant,Product,Austin,52070.67
31,Associate,7,System Administrator,IT,Austin,66733.88
59,High School,16,Data Scientist,IT,Boston,117605.15
42,Bachelor,14,Product Manager,Product,Boston,149038.01
35,Master,12,Data Analyst,Finance,New York,123361.23
59,Associate,33,Manager,IT,Seattle,207515.01
38,Master,15,Data Scientist,Product,Chicago,132905.04
27,Master,3,Product Manager,Product,San Francisco,124497.19
59,High School,4,Business Analyst,Customer Support,New York,78061.8
50,PhD,4,Consultant,Product,San Francisco,142326.98
59,Bachelor,0,Product Manager,Operations,Seattle,103092.83
22,Bachelor,0,Consultant,HR,Austin,52317.9
24,High School,2,Product Manager,Customer Support,Boston,63691.07
42,Associate,5,Data Scientist,IT,New York,97665.66
46,PhD,19,Software Engineer,IT,San Francisco,210688.86
46,Associate,19,Manager,IT,Chicago,134902.3
60,Bachelor,11,Data Analyst,Marketing,San Francisco,125373.16
26,PhD,3,Manager,Finance,Chicago,130325.02
58,PhD,27,Product Manager,Product,San Francisco,273237.13
31,High School,3,Consultant,IT,Chicago,58503.76
40,High School,1,Data Scientist,IT,Chicago,57862.84
22,PhD,0,System Administrator,Product,New York,97604.14
54,PhD,28,Data Scientist,Customer Support,Austin,197392.64
55,High School,31,Business Analyst,Product,New York,165767.6
50,Bachelor,24,Product Manager,HR,Chicago,158279.1
55,PhD,22,Software Engineer,Finance,Seattle,192121.95
42,Bachelor,3,Product Manager,Marketing,Chicago,93914.97
54,Associate,23,Business Analyst,IT,Austin,123561.51
41,Bachelor,6,Software Engineer,Operations,Boston,103602.56
56,PhD,15,Manager,Finance,Seattle,198973.95
54,Associate,23,Data Scientist,HR,New York,157686.43
30,High School,3,Business Analyst,HR,San Francisco,72486.76
58,Master,25,Data Analyst,Finance,Boston,162910.39
50,Bachelor,4,Consultant,Finance,Seattle,87626.6
56,Associate,3,System Administrator,Product,Los Angeles,76400.01
50,Master,23,Manager,Finance,New York,200830.87
38,Associate,15,System Administrator,Product,Los Angeles,94223.86
52,PhD,9,Data Analyst,Product,Seattle,130739.28
38,High School,1,Business Analyst,IT,Los Angeles,63637.71
26,Bachelor,2,System Administrator,IT,New York,69164.65
38,Bachelor,14,Software Engineer,HR,Los Angeles,125477.28
43,Associate,8,QA Engineer,Customer Support,Los Angeles,88163.5
55,Master,16,QA Engineer,Marketing,Los Angeles,133024.97
33,PhD,2,QA Engineer,Operations,Los Angeles,112505.8
33,Bachelor,6,Data Scientist,Finance,Chicago,93795.93
42,PhD,12,Product Manager,HR,Los Angeles,182889.4
43,High School,0,Consultant,Product,Boston,53801.1
22,Bachelor,0,Manager,IT,Chicago,75046.53
51,PhD,4,System Administrator,Customer Support,Austin,104044.66
46,High School,10,System Administrator,Product,Chicago,77381.95
60,High School,23,Product Manager,Operations,Austin,135544.09
30,High School,2,Manager,Finance,Los Angeles,72143.37
49,High School,10,Software Engineer,HR,Los Angeles,95566.21
29,Associate,2,Software Engineer,IT,San Francisco,78734.92
24,High School,2,Software Engineer,HR,San Francisco,69350.74
26,High School,0,Business Analyst,Product,Chicago,42006.88
35,High School,13,Manager,Customer Support,Seattle,105035.84
39,Bachelor,2,Business Analyst,IT,New York,86438.81
49,PhD,17,Product Manager,IT,Boston,211868.89
29,PhD,3,Data Analyst,Product,Seattle,110750.28
48,Bachelor,3,Business Analyst,Product,New York,90371.2
46,PhD,20,Product Manager,Product,Boston,206849.16
34,Master,1,Data Scientist,Product,Seattle,92901.35
33,Master,4,Software Engineer,Product,New York,103223.54
46,Bachelor,10,Data Analyst,Customer Support,Seattle,101949.31
51,High School,12,Software Engineer,Customer Support,Boston,106312.51
34,Associate,5,Business Analyst,Marketing,Austin,54112.98
35,Associate,5,Data Analyst,IT,Chicago,63839.74
32,High School,1,Data Scientist,Operations,New York,68995.16
41,PhD,6,Business Analyst,Finance,Los Angeles,130290.85
25,Bachelor,0,Manager,Product,Los Angeles,89304.27
55,Associate,7,System Administrator,Customer Support,Chicago,71710.66
59,Associate,4,Data Scientist,Customer Support,Boston,93979.66
28,Master,0,Software Engineer,Product,New York,101429.48
60,Associate,3,System Administrator,Finance,Seattle,71303.39
50,PhD,23,Data Scientist,HR,Chicago,186406.44
49,Bachelor,9,QA Engineer,Finance,Seattle,87069.01
22,Master,0,Software Engineer,Customer Support,Chicago,80918.42
59,Master,12,System Administrator,IT,San Francisco,132566.78
31,Associate,5,QA Engineer,IT,Chicago,73777.95
26,Associate,3,Manager,HR,New York,84422.55
45,High School,14,Manager,HR,San Francisco,130389.22
28,Associate,0,Manager,Operations,Austin,54363.41
59,Master,8,System Administrator,HR,Seattle,120282.68
58,Master,2,Product Manager,Operations,San Francisco,134035.39
55,High School,8,QA Engineer,Finance,Seattle,75669.29
37,High School,2,Consultant,Product,Seattle,65850.08
56,High School,8,Data Scientist,Operations,Boston,106706.43
49,PhD,1,Business Analyst,HR,New York,118137.39
30,PhD,5,Business Analyst,Operations,Boston,118637.75
41,Master,11,QA Engineer,IT,San Francisco,123821.53
27,Associate,2,Manager,Product,San Francisco,94720.82
26,Associate,2,System Administrator,Finance,Chicago,50247.09
58,PhD,25,Consultant,Marketing,Boston,201985.82
60,PhD,28,Consultant,Operations,San Francisco,236908.06
47,PhD,0,System Administrator,IT,Boston,104774.06
56,Master,28,Manager,IT,Austin,174557.77
23,PhD,0,Data Scientist,Marketing,Los Angeles,125596.5
55,PhD,19,Business Analyst,Finance,Austin,142544.51
47,PhD,0,Product Manager,HR,Chicago,137010.55
43,Bachelor,8,System Administrator,Finance,Austin,73655.39
43,Associate,4,Product Manager,Product,Los Angeles,94171.01
50,PhD,8,Manager,Finance,Boston,165094.31
31,Bachelor,0,System Administrator,Finance,Boston,59255.81
33,High School,4,Data Scientist,Finance,New York,80755.42
37,High School,4,Consultant,HR,San Francisco,74081.35
60,Master,8,QA Engineer,Product,New York,113985.11
32,High School,5,System Administrator,IT,New York,64455.88
22,PhD,0,System Administrator,IT,New York,102030.89
41,Bachelor,14,System Administrator,Finance,New York,103814.63
30,PhD,2,Manager,HR,Boston,137726.93
24,Master,1,Software Engineer,Customer Support,San Francisco,101439.63
41,High School,17,Software Engineer,Customer Support,Austin,90216.04
60,Associate,13,Business Analyst,Operations,Boston,110038.06
28,Associate,3,Consultant,Marketing,Seattle,72981.58
24,Bachelor,2,Data Scientist,Customer Support,Austin,74175.12
53,Master,7,QA Engineer,Customer Support,Austin,96579.78
51,Bachelor,0,Business Analyst,Customer Support,San Francisco,87288.79
37,Associate,0,Data Scientist,Product,Los Angeles,77488.4
47,High School,0,Data Analyst,Customer Support,Los Angeles,71147.45
50,Associate,0,Manager,Product,Boston,83665.94
51,Bachelor,15,Manager,Customer Support,Boston,144550.11
42,Associate,16,Data Analyst,IT,New York,112154.99
29,Master,2,Data Scientist,Product,Boston,99835.86
45,PhD,7,Product Manager,Customer Support,Los Angeles,174691.8
57,Master,24,Product Manager,HR,Seattle,201428.0
54,High School,3,Manager,Product,Seattle,84658.87
39,Bachelor,13,Product Manager,HR,San Francisco,149292.7
34,Associate,6,QA Engineer,Marketing,New York,72290.28
29,Master,5,Product Manager,Operations,Boston,128560.65
56,Associate,13,Data Scientist,HR,Seattle,126090.82
23,Associate,0,QA Engineer,Finance,Boston,49520.31
25,Master,0,Software Engineer,Marketing,Austin,80868.14
58,PhD,19,Software Engineer,HR,Los Angeles,196255.7
50,Bachelor,26,Consultant,HR,Boston,157379.37
57,Associate,1,Business Analyst,HR,San Francisco,87032.54
54,Associate,21,Business Analyst,Marketing,Los Angeles,133261.34
49,High School,19,Business Analyst,Operations,Los Angeles,123025.99
60,High School,34,Manager,HR,Seattle,187141.11
54,PhD,3,Consultant,IT,Chicago,115018.96
45,High School,9,Consultant,Marketing,Los Angeles,92863.09
51,Master,1,Product Manager,HR,Boston,122048.05
26,PhD,1,Product Manager,Marketing,Austin,109480.45
30,Bachelor,2,Data Analyst,Marketing,Chicago,64698.96
44,PhD,6,QA Engineer,Marketing,Seattle,112844.14
55,Associate,0,System Administrator,Customer Support,Los Angeles,72638.31
24,PhD,1,Business Analyst,IT,Seattle,110560.51
26,Bachelor,4,Data Scientist,Marketing,Boston,88433.39
39,Associate,1,Data Scientist,Operations,New York,83282.97
47,High School,0,QA Engineer,Finance,New York,52376.95
49,PhD,24,QA Engineer,Finance,Chicago,159719.57
51,Master,17,Consultant,Customer Support,Chicago,130287.81
27,High School,3,Business Analyst,IT,Chicago,54463.02
32,High School,4,Product Manager,Product,New York,83986.36
26,High School,3,QA Engineer,Customer Support,Los Angeles,56698.89
57,PhD,0,QA Engineer,Operations,Austin,100155.72
60,Associate,3,QA Engineer,Marketing,Los Angeles,76020.85
36,Associate,2,Consultant,HR,Los Angeles,75513.38
57,Bachelor,10,Software Engineer,HR,Chicago,101810.27
45,Associate,0,QA Engineer,HR,Chicago,55397.76
29,PhD,0,QA Engineer,Product,New York,95408.81
53,Associate,21,Data Scientist,HR,Seattle,153693.58
24,High School,0,Business Analyst,Customer Support,Boston,40077.21
28,Associate,0,Product Manager,Customer Support,Boston,75727.07
27,PhD,2,Consultant,Finance,San Francisco,132564.99
22,Master,0,Business Analyst,Finance,New York,88236.75
40,Associate,7,Consultant,Customer Support,New York,90310.24
35,PhD,11,QA Engineer,Marketing,New York,146248.46
28,Master,0,Software Engineer,Operations,Los Angeles,91077.45
48,Associate,11,Product Manager,Product,Los Angeles,129673.45
41,Bachelor,13,QA Engineer,Product,Los Angeles,107462.3
51,PhD,3,Data Scientist,Customer Support,Los Angeles,144379.7
23,Associate,0,Consultant,IT,San Francisco,71127.0
55,Bachelor,31,Business Analyst,Operations,Austin,138983.27
43,Bachelor,8,Consultant,Customer Support,Boston,112629.72
53,High School,27,Software Engineer,Marketing,New York,160451.26
52,Master,17,Software Engineer,Finance,Chicago,144716.82
55,Master,31,Manager,Customer Support,Seattle,213360.48
55,Master,6,System Administrator,Customer Support,Los Angeles,100809.61
48,PhD,14,Manager,Product,Los Angeles,193794.38
45,High School,16,Business Analyst,HR,Boston,110088.86
45,PhD,23,Data Analyst,Finance,New York,182055.8
32,Bachelor,3,Product Manager,Marketing,Los Angeles,100008.59
47,Master,23,Consultant,Finance,San Francisco,181978.68
32,Associate,2,Business Analyst,IT,Seattle,56398.24
24,High School,2,System Administrator,HR,Seattle,55242.59
28,PhD,1,Business Analyst,HR,New York,110389.03
43,Associate,12,Manager,Customer Support,Boston,125510.54
26,Bachelor,1,QA Engineer,HR,Los Angeles,70744.49
49,Master,23,Manager,Finance,Austin,154710.21
29,Master,3,Software Engineer,HR,San Francisco,110745.83
30,Bachelor,1,Consultant,Operations,Boston,69797.45
59,High School,4,System Administrator,Marketing,Chicago,65121.7
56,Associate,20,Consultant,Product,Seattle,126827.01
40,Master,15,Software Engineer,Product,Chicago,128997.15
31,Master,9,Data Analyst,Marketing,Chicago,89539.06
25,PhD,0,Software Engineer,IT,New York,123684.58
29,High School,3,System Administrator,HR,Los Angeles,61709.36
33,PhD,1,Data Scientist,Product,San Francisco,147696.14
55,Associate,21,Data Scientist,Customer Support,New York,163520.96
42,High School,13,QA Engineer,Product,New York,87258.58
47,PhD,6,Data Scientist,HR,San Francisco,173910.3
29,Associate,6,QA Engineer,HR,Boston,71975.77
50,Bachelor,18,Consultant,Finance,San Francisco,150708.83
28,High School,0,Product Manager,Product,Boston,64887.71
37,Associate,8,Data Analyst,IT,Los Angeles,84988.69
29,Bachelor,0,QA Engineer,Operations,Chicago,54435.23
50,High School,10,Manager,Operations,Seattle,108890.5
42,Bachelor,3,Software Engineer,Marketing,Austin,73620.03
35,Associate,0,QA Engineer,IT,Austin,58061.67
48,High School,7,Manager,IT,Chicago,74217.52
39,Bachelor,7,Product Manager,IT,Los Angeles,108745.16
28,Associate,4,Manager,HR,San Francisco,92161.48
52,PhD,20,Data Scientist,Product,San Francisco,231483.01
26,High School,4,Data Scientist,IT,Boston,76355.39
34,PhD,7,Data Scientist,Operations,Los Angeles,161421.98
57,High School,6,Software Engineer,Finance,Austin,67850.93
41,PhD,12,Business Analyst,Product,Los Angeles,150748.67
52,Master,23,System Administrator,HR,San Francisco,166040.2
33,PhD,1,Manager,Finance,San Francisco,155718.84
33,PhD,2,Consultant,Marketing,Seattle,120333.16
60,Bachelor,38,Data Scientist,Marketing,Chicago,196955.9
30,Bachelor,8,Consultant,Marketing,Boston,84487.36
