Experience Level,Employment Type,Job Title,Salary,Employee Residence,Company Location,Company Size
SE,FT,Data Engineer,220110,US,US,M
SE,FT,Data Engineer,160080,US,US,M
SE,FT,Data Analyst,105000,US,US,M
SE,FT,Data Analyst,110925,US,US,M
MI,FT,Data Analyst,45807,GB,GB,M
SE,FT,Data Scientist,140000,US,US,M
SE,FT,Data Analyst,99000,US,US,M
SE,FT,Data Analyst,60000,US,US,M
SE,FT,Data Architect,192564,US,US,M
SE,FT,Data Architect,144854,US,US,M
SE,FT,Data Scientist,230000,US,US,M
SE,FT,Data Scientist,150000,US,US,M
SE,FT,Data Analytics Manager,150260,US,US,M
SE,FT,Data Analytics Manager,109280,US,US,M
SE,FT,Data Scientist,210000,US,US,M
SE,FT,Data Analyst,170000,US,US,M
MI,FT,Data Scientist,160000,US,US,M
MI,FT,Data Scientist,130000,US,US,M
EN,FT,Data Analyst,67000,CA,CA,M
EN,FT,Data Analyst,52000,CA,CA,M
SE,FT,Data Engineer,154000,US,US,M
SE,FT,Data Engineer,126000,US,US,M
SE,FT,Data Analyst,129000,US,US,M
SE,FT,Data Analyst,150000,US,US,M
MI,FT,AI Scientist,200000,IN,US,L
